,files,x,y
127,images/kba/kba-0016-1\0128.jpg,3.447168,7.048635
128,images/kba/kba-0016-1\0129.jpg,5.55199,3.6175249
129,images/kba/kba-0016-1\0130.jpg,0.6274295,6.488524
130,images/kba/kba-0016-1\0131.jpg,3.580305,3.607773
131,images/kba/kba-0016-1\0132.jpg,3.9085157,7.112162
132,images/kba/kba-0016-1\0133.jpg,4.53882,4.8983374
133,images/kba/kba-0016-1\0134.jpg,4.351494,7.1904078
134,images/kba/kba-0016-1\0135.jpg,3.3639069,3.7314565
135,images/kba/kba-0016-1\0136.jpg,4.0050726,6.8992853
136,images/kba/kba-0016-1\0137.jpg,4.7978263,5.1232405
137,images/kba/kba-0016-1\0138.jpg,4.4279537,6.787241
138,images/kba/kba-0016-1\0139.jpg,4.663914,4.8757644
139,images/kba/kba-0016-1\0140.jpg,4.5145946,6.943889
